"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....No.schooling.completed","Margin.of.Error..Total....No.schooling.completed","Estimate..Total....Nursery.school","Margin.of.Error..Total....Nursery.school","Estimate..Total....Kindergarten","Margin.of.Error..Total....Kindergarten","Estimate..Total....1st.grade","Margin.of.Error..Total....1st.grade","Estimate..Total....2nd.grade","Margin.of.Error..Total....2nd.grade","Estimate..Total....3rd.grade","Margin.of.Error..Total....3rd.grade","Estimate..Total....4th.grade","Margin.of.Error..Total....4th.grade","Estimate..Total....5th.grade","Margin.of.Error..Total....5th.grade","Estimate..Total....6th.grade","Margin.of.Error..Total....6th.grade","Estimate..Total....7th.grade","Margin.of.Error..Total....7th.grade","Estimate..Total....8th.grade","Margin.of.Error..Total....8th.grade","Estimate..Total....9th.grade","Margin.of.Error..Total....9th.grade","Estimate..Total....10th.grade","Margin.of.Error..Total....10th.grade","Estimate..Total....11th.grade","Margin.of.Error..Total....11th.grade","Estimate..Total....12th.grade..no.diploma","Margin.of.Error..Total....12th.grade..no.diploma","Estimate..Total....Regular.high.school.diploma","Margin.of.Error..Total....Regular.high.school.diploma","Estimate..Total....GED.or.alternative.credential","Margin.of.Error..Total....GED.or.alternative.credential","Estimate..Total....Some.college..less.than.1.year","Margin.of.Error..Total....Some.college..less.than.1.year","Estimate..Total....Some.college..1.or.more.years..no.degree","Margin.of.Error..Total....Some.college..1.or.more.years..no.degree","Estimate..Total....Associate.s.degree","Margin.of.Error..Total....Associate.s.degree","Estimate..Total....Bachelor.s.degree","Margin.of.Error..Total....Bachelor.s.degree","Estimate..Total....Master.s.degree","Margin.of.Error..Total....Master.s.degree","Estimate..Total....Professional.school.degree","Margin.of.Error..Total....Professional.school.degree","Estimate..Total....Doctorate.degree","Margin.of.Error..Total....Doctorate.degree"
"1","1500000US080310001021",80310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",741,127,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,31,51,0,11,0,11,0,11,0,11,67,38,42,51,39,28,114,73,49,57,257,88,88,40,36,33,18,21
"2","1500000US080310001022",80310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1263,165,7,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,17,0,11,18,18,21,33,0,11,204,108,36,46,47,39,170,74,73,58,539,114,123,60,0,11,9,15
"3","1500000US080310001023",80310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",674,136,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,38,30,8,13,31,29,65,39,51,35,320,98,111,61,31,37,19,22
"4","1500000US080310002011",80310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1366,208,26,26,0,11,0,11,0,11,0,11,27,43,0,11,0,11,64,58,0,11,37,28,28,34,65,60,34,37,14,16,308,99,76,54,98,62,161,69,65,41,206,91,137,57,6,15,14,17
"5","1500000US080310002012",80310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",1630,228,24,29,0,11,0,11,0,11,0,11,34,38,0,11,0,11,138,116,9,15,61,62,77,70,51,47,32,30,9,13,276,103,159,99,72,45,151,83,104,67,259,78,155,107,8,13,11,15
"6","1500000US080310002021",80310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",357,143,62,55,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,16,24,25,0,11,24,36,0,11,35,31,27,39,0,11,108,108,47,54,20,21,0,11,0,11,0,11
"7","1500000US080310002022",80310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1199,204,19,16,0,11,0,11,0,11,0,11,43,61,0,11,0,11,95,103,0,11,0,11,28,44,28,23,65,62,10,17,214,88,111,60,45,31,167,90,77,71,199,109,48,37,32,27,18,18
"8","1500000US080310002023",80310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",675,131,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,14,0,11,0,11,6,10,9,14,28,36,18,20,65,49,14,22,31,30,107,59,29,27,154,56,162,71,33,23,11,16
"9","1500000US080310002024",80310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",798,200,12,18,0,11,0,11,0,11,0,11,8,12,0,11,0,11,33,52,0,11,68,58,0,11,23,35,0,11,20,19,215,140,41,27,47,39,67,43,33,27,134,49,76,69,21,24,0,11
"10","1500000US080310003011",80310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",614,159,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,27,0,11,0,11,0,11,0,11,25,39,0,11,76,68,4,13,0,11,76,60,37,37,276,104,105,68,0,11,0,11
